freq,Reach,Date
9,Upper Spring Run,11/13/2000
1,Upper Spring Run,11/13/2000
1,Landa Lake,11/13/2000
10,Landa Lake,11/13/2000
11,Landa Lake,11/13/2000
0,Landa Lake,11/14/2000
1,Landa Lake,11/14/2000
19,Landa Lake,11/14/2000
1,Landa Lake,11/14/2000
1,Landa Lake,11/14/2000
10,Landa Lake,11/14/2000
2,Landa Lake,11/14/2000
0,Upper New Channel Reach,11/15/2000
3,Upper New Channel Reach,11/15/2000
2,Upper New Channel Reach,11/15/2000
4,Upper New Channel Reach,11/15/2000
0,Old Channel Reach,11/16/2000
6,Old Channel Reach,11/16/2000
2,Old Channel Reach,11/16/2000
6,Old Channel Reach,11/16/2000
3,Old Channel Reach,11/16/2000
11,Old Channel Reach,11/16/2000
0,Upper Spring Run,3/19/2001
0,Upper Spring Run,3/19/2001
0,Upper Spring Run,3/19/2001
0,Upper Spring Run,3/19/2001
0,Upper Spring Run,3/19/2001
0,Upper Spring Run,3/19/2001
30,Landa Lake,3/19/2001
15,Landa Lake,3/19/2001
4,Landa Lake,3/19/2001
1,Landa Lake,3/19/2001
12,Landa Lake,3/20/2001
7,Landa Lake,3/20/2001
3,Landa Lake,3/20/2001
4,Landa Lake,3/20/2001
10,Landa Lake,3/20/2001
6,Landa Lake,3/20/2001
1,Upper New Channel Reach,3/20/2001
1,Upper New Channel Reach,3/20/2001
4,Old Channel Reach,3/21/2001
7,Old Channel Reach,3/21/2001
84,Old Channel Reach,3/21/2001
8,Old Channel Reach,3/21/2001
7,Old Channel Reach,3/21/2001
6,Old Channel Reach,3/21/2001
0,Upper Spring Run,5/21/2001
0,Upper Spring Run,5/21/2001
0,Upper Spring Run,5/21/2001
0,Landa Lake,5/21/2001
0,Landa Lake,5/21/2001
1,Upper Spring Run,5/21/2001
1,Upper Spring Run,5/21/2001
1,Upper Spring Run,5/21/2001
3,Landa Lake,5/21/2001
47,Landa Lake,5/21/2001
0,Old Channel Reach,5/22/2001
0,Old Channel Reach,5/22/2001
34,Landa Lake,5/22/2001
26,Landa Lake,5/22/2001
42,Landa Lake,5/22/2001
1,Landa Lake,5/22/2001
37,Landa Lake,5/22/2001
45,Landa Lake,5/22/2001
6,Old Channel Reach,5/22/2001
18,Old Channel Reach,5/22/2001
123,Old Channel Reach,5/22/2001
16,Old Channel Reach,5/22/2001
4,Upper New Channel Reach,5/24/2001
8,Upper New Channel Reach,5/24/2001
3,Upper New Channel Reach,5/24/2001
0,Upper Spring Run,8/27/2001
0,Upper Spring Run,8/27/2001
0,Upper Spring Run,8/27/2001
0,Upper Spring Run,8/27/2001
8,Upper Spring Run,8/27/2001
4,Upper Spring Run,8/27/2001
0,Landa Lake,8/28/2001
122,Landa Lake,8/28/2001
54,Landa Lake,8/28/2001
9,Landa Lake,8/28/2001
34,Landa Lake,8/28/2001
13,Landa Lake,8/28/2001
17,Landa Lake,8/28/2001
16,Landa Lake,8/28/2001
35,Landa Lake,8/28/2001
32,Landa Lake,8/28/2001
0,Upper New Channel Reach,8/29/2001
0,Old Channel Reach,8/29/2001
17,Upper New Channel Reach,8/29/2001
8,Upper New Channel Reach,8/29/2001
4,Old Channel Reach,8/29/2001
1,Old Channel Reach,8/29/2001
8,Old Channel Reach,8/29/2001
93,Old Channel Reach,8/29/2001
2,Old Channel Reach,8/29/2001
0,Upper Spring Run,10/1/2001
0,Upper Spring Run,10/1/2001
0,Upper Spring Run,10/1/2001
0,Upper Spring Run,10/1/2001
0,Upper Spring Run,10/1/2001
1,Upper Spring Run,10/1/2001
19,Landa Lake,10/1/2001
21,Landa Lake,10/1/2001
61,Landa Lake,10/2/2001
43,Landa Lake,10/2/2001
24,Landa Lake,10/2/2001
16,Landa Lake,10/2/2001
16,Landa Lake,10/2/2001
1,Landa Lake,10/2/2001
17,Landa Lake,10/2/2001
8,Landa Lake,10/2/2001
2,Upper New Channel Reach,10/2/2001
4,Upper New Channel Reach,10/2/2001
1,Upper New Channel Reach,10/2/2001
0,Old Channel Reach,10/3/2001
0,Old Channel Reach,10/3/2001
1,Old Channel Reach,10/3/2001
59,Old Channel Reach,10/3/2001
18,Old Channel Reach,10/3/2001
6,Old Channel Reach,10/3/2001
0,Upper Spring Run,11/5/2001
0,Upper Spring Run,11/5/2001
0,Upper Spring Run,11/5/2001
2,Upper Spring Run,11/5/2001
3,Upper Spring Run,11/5/2001
1,Upper Spring Run,11/5/2001
21,Landa Lake,11/5/2001
21,Landa Lake,11/5/2001
10,Landa Lake,11/5/2001
13,Landa Lake,11/5/2001
1,Landa Lake,11/5/2001
5,Landa Lake,11/5/2001
56,Landa Lake,11/6/2001
89,Landa Lake,11/6/2001
3,Landa Lake,11/6/2001
2,Landa Lake,11/6/2001
5,Upper New Channel Reach,11/6/2001
7,Upper New Channel Reach,11/6/2001
1,Upper New Channel Reach,11/6/2001
0,Old Channel Reach,11/7/2001
2,Old Channel Reach,11/7/2001
4,Old Channel Reach,11/7/2001
27,Old Channel Reach,11/7/2001
9,Old Channel Reach,11/7/2001
16,Old Channel Reach,11/7/2001
0,Upper Spring Run,11/27/2001
0,Upper Spring Run,11/27/2001
0,Upper Spring Run,11/27/2001
1,Upper Spring Run,11/27/2001
3,Upper Spring Run,11/27/2001
6,Upper Spring Run,11/27/2001
34,Landa Lake,11/27/2001
7,Landa Lake,11/27/2001
30,Landa Lake,11/27/2001
4,Landa Lake,11/27/2001
0,Landa Lake,11/28/2001
0,Landa Lake,11/28/2001
59,Landa Lake,11/28/2001
46,Landa Lake,11/28/2001
1,Landa Lake,11/28/2001
23,Landa Lake,11/28/2001
0,Old Channel Reach,11/29/2001
0,Old Channel Reach,11/29/2001
0,Old Channel Reach,11/29/2001
4,Upper New Channel Reach,11/29/2001
3,Upper New Channel Reach,11/29/2001
1,Upper New Channel Reach,11/29/2001
10,Old Channel Reach,11/29/2001
53,Old Channel Reach,11/29/2001
54,Old Channel Reach,11/29/2001
0,Upper Spring Run,2/25/2002
0,Upper Spring Run,2/25/2002
0,Upper Spring Run,2/25/2002
2,Upper Spring Run,2/25/2002
13,Upper Spring Run,2/25/2002
14,Upper Spring Run,2/25/2002
23,Landa Lake,2/25/2002
16,Landa Lake,2/25/2002
5,Landa Lake,2/25/2002
14,Landa Lake,2/25/2002
28,Landa Lake,2/25/2002
0,Old Channel Reach,2/27/2002
0,Old Channel Reach,2/27/2002
7,Landa Lake,2/27/2002
14,Landa Lake,2/27/2002
1,Landa Lake,2/27/2002
23,Landa Lake,2/27/2002
1,Landa Lake,2/27/2002
1,Old Channel Reach,2/27/2002
19,Old Channel Reach,2/27/2002
118,Old Channel Reach,2/27/2002
6,Old Channel Reach,2/27/2002
0,Upper New Channel Reach,2/28/2002
10,Upper New Channel Reach,2/28/2002
13,Upper New Channel Reach,2/28/2002
0,Upper Spring Run,5/20/2002
0,Upper Spring Run,5/20/2002
0,Upper Spring Run,5/20/2002
7,Upper Spring Run,5/20/2002
84,Upper Spring Run,5/20/2002
19,Upper Spring Run,5/20/2002
22,Landa Lake,5/20/2002
33,Landa Lake,5/20/2002
0,Landa Lake,5/21/2002
91,Landa Lake,5/21/2002
29,Landa Lake,5/21/2002
22,Landa Lake,5/21/2002
35,Landa Lake,5/21/2002
1,Landa Lake,5/21/2002
12,Landa Lake,5/21/2002
2,Landa Lake,5/21/2002
0,Old Channel Reach,5/22/2002
0,Old Channel Reach,5/22/2002
8,Upper New Channel Reach,5/22/2002
12,Upper New Channel Reach,5/22/2002
27,Upper New Channel Reach,5/22/2002
6,Old Channel Reach,5/22/2002
35,Old Channel Reach,5/22/2002
152,Old Channel Reach,5/22/2002
210,Old Channel Reach,5/22/2002
0,Upper Spring Run,8/6/2002
4,Upper Spring Run,8/6/2002
21,Upper Spring Run,8/6/2002
11,Upper Spring Run,8/6/2002
2,Upper Spring Run,8/6/2002
3,Upper Spring Run,8/6/2002
31,Landa Lake,8/6/2002
51,Landa Lake,8/6/2002
18,Landa Lake,8/6/2002
0,Landa Lake,8/7/2002
134,Landa Lake,8/7/2002
49,Landa Lake,8/7/2002
41,Landa Lake,8/7/2002
76,Landa Lake,8/7/2002
9,Landa Lake,8/7/2002
21,Landa Lake,8/7/2002
0,Old Channel Reach,8/8/2002
4,Upper New Channel Reach,8/8/2002
7,Upper New Channel Reach,8/8/2002
9,Upper New Channel Reach,8/8/2002
22,Old Channel Reach,8/8/2002
3,Old Channel Reach,8/8/2002
55,Old Channel Reach,8/8/2002
55,Old Channel Reach,8/8/2002
1,Old Channel Reach,8/8/2002
0,Upper Spring Run,11/19/2002
0,Upper Spring Run,11/19/2002
3,Upper Spring Run,11/19/2002
10,Upper Spring Run,11/19/2002
14,Upper Spring Run,11/19/2002
16,Upper Spring Run,11/19/2002
20,Landa Lake,11/20/2002
33,Landa Lake,11/20/2002
21,Landa Lake,11/20/2002
27,Landa Lake,11/20/2002
15,Landa Lake,11/20/2002
10,Landa Lake,11/20/2002
9,Landa Lake,11/20/2002
1,Landa Lake,11/20/2002
69,Landa Lake,11/20/2002
85,Landa Lake,11/20/2002
0,Old Channel Reach,11/21/2002
2,Upper New Channel Reach,11/21/2002
1,Upper New Channel Reach,11/21/2002
5,Old Channel Reach,11/21/2002
4,Old Channel Reach,11/21/2002
85,Old Channel Reach,11/21/2002
22,Old Channel Reach,11/21/2002
1,Old Channel Reach,11/21/2002
